MatvareID,Matvare,Spiselig del,Ref,Vann,Ref,Kilojoule,Ref,Kilokalorier,Ref,Fett,Ref,Mettet,Ref,C12:0,Ref,C14:0,Ref,C16:0,Ref,C18:0,Ref,Trans,Ref,Enumettet,Ref,C16:1 sum,Ref,C18:1 sum,Ref,Flerumettet,Ref,C18:2n-6,Ref,C18:3n-3,Ref,C20:3n-3,Ref,C20:3n-6,Ref,C20:4n-3,Ref,C20:4n-6,Ref,C20:5n-3 (EPA),Ref,C22:5n-3 (DPA),Ref,C22:6n-3 (DHA),Ref,Omega-3,Ref,Omega-6,Ref,Kolesterol,Ref,Karbohydrat,Ref,Stivelse,Ref,Mono+disakk,Ref,"Sukker, tilsatt",Ref,Kostfiber,Ref,Protein,Ref,Salt,Ref,Alkohol,Ref,Vitamin A,Ref,Retinol,Ref,Beta-karoten,Ref,Vitamin D,Ref,Vitamin E,Ref,Tiamin,Ref,Riboflavin,Ref,Niacin,Ref,Vitamin B6,Ref,Folat,Ref,Vitamin B12,Ref,Vitamin C,Ref,Kalsium,Ref,Jern,Ref,Natrium,Ref,Kalium,Ref,Magnesium,Ref,Sink,Ref,Selen,Ref,Kopper,Ref,Fosfor,Ref,Jod,Ref
,Forkortelser: M = manglende verdi. Ref = referanse,%,,g,,kJ,,kcal,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,mg,,g,,g,,g,,g,,g,,g,,g,,g,,RAE,,µg,,µg,,µg,,alfa-TE,,mg,,mg,,mg,,mg,,µg,,µg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,µg,,mg,,mg,,µg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Melk og melkeprodukter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Melk og melkebasert drikke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.235,"Helmelk, 3,9 % fett, Q-meieriene",100,0,87,132,278,61a,67,61b,3.9,132,2.7,132,0.14,109c,0.42,109c,1.16,109c,0.45,109c,0.1,132,1,132,0.06,109c,0.84,109c,0.2,132,0.06,109c,0.02,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0.02,109c,0.08,109c,10,132,4.6,132,0,132,4.6,132,0,132,0,132,3.3,132,0.1,83,0,50,38,132,36,132,25,132,0,132,0.1,132,0.05,132,0.15,132,0.1,132,0.04,132,11,132,0.6,132,0,132,120,132,0,132,40,132,180,132,13,132,0.6,132,0,132,0.02,132,97,132,14.8,325
1.283,"Helmelk, 4,1 % fett, økologisk",100,0,87,112a,284,61a,68,61b,4.1,112a,2.6,112a,0.15,112a,0.47,112a,1.18,112a,0.38,112a,0.1,112a,0.9,112a,0.09,112a,0.71,112a,0.1,112a,0.07,112a,0.02,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.02,112a,0.07,112a,11,112a,4.5,80,0,112a,4.5,112a,0,20,0,112a,3.3,112a,0.1,83,0,50,18,85,16,112a,22,112a,0,112a,0.1,112a,0.05,30,0.15,112a,0.1,30,0.04,30,11,112a,0.4,112a,0,20,120,112a,0,30,35,112a,170,112a,12,112a,0.4,30,3,112a,0.02,30,100,112a,20.2,325
1.236,"Helmelk, uspesifisert",100,0,88,138,267,61a,64,61b,3.6,138,2.4,138,0.12,138,0.37,138,1,138,0.39,138,0.1,138,0.9,138,0.05,138,0.73,138,0.1,138,0.05,138,0.01,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0.02,138,0.06,138,10,138,4.5,80,0,138,4.5,138,0,50,0,138,3.4,138,0.1,83,0,50,35,85,33,138,22,138,0,138,0.1,138,0.04,138,0.15,138,0,138,0.04,138,6,138,0.6,138,0,138,120,138,0,138,40,138,170,138,11,138,0.4,138,1,138,0,138,110,138,14.8,325
1.109,"Kaffemelk, 3,5 % fett",100,0,87,112a,260,61a,62,61b,3.5,112a,2.5,112a,0.11,112a,0.35,112a,0.99,112a,0.36,112a,0.1,112a,1.1,112a,0.08,112a,0.71,112a,0.1,112a,0.05,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.02,112a,0.06,112a,10,112a,4.4,80,0,20,4.4,112a,0,20,0,50,3.3,112a,0.1,83,0,50,42,85,40,112a,20,112a,0,112a,0.1,112a,0.05,112a,0.15,112a,0.1,112a,0.04,112a,4,112a,0.5,112a,0,20,115,112a,0,112a,40,112a,150,112a,10,112a,0.4,112a,1,112a,0.01,112a,90,112a,10.1,325
1.196,"Kakao, med lettmelk, tilberedt",100,0,79,135,365,61a,87,61b,2.3,135,1.4,135,0.07,109c,0.2,109c,0.54,109c,0.21,109c,0,135,0.7,135,0.02,109c,0.39,109c,0.1,135,0.03,109c,0.01,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0.02,109c,0.08,109c,6,135,12,80,0.4,135,11.5,135,7,135,1,135,4,135,0.1,83,0,50,15,85,14,87a,10,87a,0,87a,0,87a,0.05,87a,0.15,87a,0.2,87a,0.04,87a,6,87a,0.4,87a,1,87a,98,135,0.5,135,39,135,285,135,29,135,0.8,135,1,135,0.15,135,125,135,14.1,325
1.274,"Lettmelk, 0,5 % fett, vitamin D, laktosefri",100,0,91,112a,131,61a,31,61b,0.5,112a,0.3,112a,0.02,112a,0.05,112a,0.14,112a,0.05,112a,0,112a,0.1,112a,0.01,112a,0.1,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,1,112a,3.1,80,0,20,3.1,112a,0,20,0,50,3.5,112a,0.1,83,0,50,9,85,9,112a,3,112a,0.4,112a,0,112a,0.01,112a,0.06,112a,0.1,112a,0.03,112a,5,112a,0.5,112a,0,20,130,112a,0,112a,30,112a,160,112a,9,112a,0.4,112a,1,112a,0,112a,96,112a,15.7,325
1.23,"Lettmelk, 0,5 % fett, vitamin D, Q-meieriene",100,0,91,30,156,61a,37,61b,0.5,104b,0.3,72,0.01,109c,0.04,109c,0.12,109c,0.04,109c,0,72,0.1,72,0,109c,0.08,109c,0,72,0.01,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0.01,109c,1,71,4.6,80,0,50,4.6,104b,0,104c,0,50,3.5,104b,0.1,83,0,50,6,85,6,30,6,30,0.4,104c,0,30,0.05,20,0.15,104b,0.1,104b,0.04,30,5,30,0.5,30,0,30,120,104b,0,30,40,104b,180,104b,13,30,0.4,30,1,30,0.01,30,90,30,14.8,325
1.231,"Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert",100,0,91,138,162,61a,38,61b,0.7,138,0.5,138,0.02,138,0.06,138,0.16,138,0.06,138,0,138,0.2,138,0.01,138,0.12,138,0,138,0.01,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0.01,138,2,138,4.5,80,0,50,4.5,138,0,50,0,50,3.5,138,0.1,83,0,50,6,85,6,138,5,138,0.4,138,0,138,0.05,138,0.15,138,0.1,138,0.04,138,4,138,0.6,138,0,138,130,138,0,138,42,138,170,138,13,138,0.4,138,1,138,0,138,110,138,14.8,325
1.192,"Lettmelk, 0,7 % fett, vitamin D, Tine",100,0,91,111a,162,61a,38,61b,0.7,111a,0.5,111a,0.02,111a,0.07,111a,0.19,111a,0.07,111a,0,111a,0.2,111a,0.01,111a,0.14,111a,0,111a,0.01,111a,0,111a,0,111a,0,111a,0,111a,0,111a,0,111a,0,111a,0,111a,0,111a,0.01,111a,2,111a,4.5,80,0,20,4.5,111a,0,108a,0,50,3.5,111a,0.1,83,0,50,7,85,6,111a,4,111a,0.4,111a,0,111a,0.05,111a,0.15,111a,0.1,111a,0.04,111a,4,111a,0.6,111a,0,20,130,111a,0,111a,42,111a,171,111a,10,111a,0.4,111a,1,111a,0.01,111a,115,111a,14.8,325
1.285,"Lettmelk, 0,7 % fett, økologisk",100,0,90,112a,164,61a,39,61b,0.7,112a,0.5,112a,0.03,112a,0.08,112a,0.2,112a,0.07,112a,0,112a,0.2,112a,0.02,112a,0.12,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,2,112a,4.7,80,0,112a,4.7,112a,0,20,0,112a,3.4,112a,0.1,83,0,50,3,85,3,112a,4,112a,0,112a,0,112a,0.05,30,0.15,112a,0.1,30,0.04,30,11,112a,0.4,112a,0,20,120,112a,0,30,40,112a,170,112a,12,112a,0.4,30,3,112a,0.01,30,100,112a,20.2,325
1.215,"Lettmelk, 1,0 % fett, laktosefri",100,0,90,112a,149,61a,35,61b,1,112a,0.6,112a,0.03,112a,0.1,112a,0.28,112a,0.1,112a,0,112a,0.2,112a,0.02,112a,0.2,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,3.1,80,0,20,3.1,112a,0,20,0,50,3.5,112a,0.1,83,0,50,16,85,16,112a,6,112a,0,112a,0,112a,0.02,112a,0.06,112a,0.1,112a,0.03,112a,5,112a,0.5,112a,0,20,120,112a,0,112a,30,112a,150,112a,9,112a,0.4,112a,1,112a,0,112a,92,112a,15.7,325
1.118,"Lettmelk, 1,0 % fett, laktoseredusert",100,0,90,112a,173,61a,41,61b,1,112a,0.6,112a,0.03,112a,0.1,112a,0.28,112a,0.1,112a,0,112a,0.4,112a,0.02,112a,0.2,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,4.5,80,0,20,4.5,112a,0,112a,0,50,3.5,112a,0.1,83,0,50,15,85,15,112a,6,112a,0.4,112a,0,111a,0.05,112a,0.15,112a,0.1,112a,0.04,112a,5,112a,0.5,112a,0,20,130,112a,0,112a,40,112a,171,112a,10,112a,0.4,112a,1,112a,0.01,112a,115,112a,15.7,325
1.228,"Lettmelk, 1,0 % fett, Q-meieriene",100,0,91,30,175,61a,41,61b,1,104b,0.6,72,0.03,109c,0.08,109c,0.23,109c,0.09,109c,0,72,0.2,72,0.01,109c,0.17,109c,0,72,0.01,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0.02,109c,3,71,4.6,80,0,50,4.6,104b,0,104c,0,50,3.5,104b,0.1,83,0,50,15,85,14,104b,7,104b,0,104b,0,30,0.05,30,0.15,104b,0.1,30,0.04,104b,11,104b,0.6,109a,0,104b,120,104b,0,104b,40,104b,157,30,13,30,0.6,104b,3,104b,0,104b,97,104b,14.8,325
1.002,"Lettmelk, 1,0 % fett, Tine",100,0,90,112a,173,61a,41,61b,1,112a,0.6,112a,0.03,112a,0.1,112a,0.28,112a,0.1,112a,0,112a,0.2,112a,0.02,112a,0.2,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,4.5,80,0,20,4.5,112a,0,20,0,50,3.5,112a,0.1,83,0,50,9,85,9,112a,6,112a,0,112a,0,112a,0.04,111a,0.15,112a,0,111a,0.04,111a,9,112a,0.6,112a,0,20,130,112a,0,111a,40,112a,171,112a,12,112a,0.4,111a,3,112a,0.01,111a,115,112a,14.8,325
1.119,"Lettmelk, 1,2 % fett, langtidsholdbar",100,0,90,112a,180,61a,43,61b,1.2,112a,0.7,112a,0.04,112a,0.12,112a,0.34,112a,0.12,112a,0,112a,0.4,112a,0.03,112a,0.24,112a,0,112a,0.02,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,4.7,80,0,20,4.7,112a,0,112a,0,50,3.3,112a,0.1,83,0,50,15,85,15,112a,7,112a,0,112a,0,111a,0.05,112a,0.15,112a,0.1,112a,0.04,112a,5,112a,0.5,112a,0,20,134,112a,0,112a,40,112a,171,112a,10,112a,0.4,112a,1,112a,0.01,112a,115,112a,15.2,325
1.268,"Lettmelk, 1,2 % fett, økologisk",100,0,90,112a,182,61a,43,61b,1.2,112a,0.8,112a,0.04,112a,0.14,112a,0.35,112a,0.11,112a,0,112a,0.2,112a,0.03,112a,0.21,112a,0,112a,0.02,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,4.7,80,0,20,4.7,112a,0,20,0,50,3.4,112a,0.1,83,0,50,5,85,5,112a,6,112a,0,112a,0,112a,0.05,108b,0.15,112a,0,108b,0.04,108b,11,112a,0.4,112a,0,30,120,112a,0,112a,40,112a,170,112a,12,112a,0.5,108b,3,112a,0,108b,100,112a,20.2,325
1.229,"Lettmelk, 1-1,2 % fett, uspesifisert",100,0,90,138,180,61a,43,61b,1.2,138,0.8,138,0.04,138,0.01,138,0.31,138,0.12,138,0,138,0.3,138,0.02,138,0.22,138,0,138,0.02,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0.01,138,0,138,3,138,4.5,80,0,50,4.5,138,0,50,0,50,3.5,138,0.1,83,0,50,12,85,12,138,7,138,0,138,0,138,0.04,138,0.15,138,0,138,0.04,138,6,138,0.6,138,0,138,120,138,0,138,40,138,170,138,13,138,0.4,138,1,138,0,138,110,138,14.8,325
1.227,"Lettmelk, kakao, vitamin D, skolemelk",100,0,88,112a,183,61a,43,61b,0.8,112a,0.5,112a,0.02,112a,0.08,112a,0.22,112a,0.08,112a,0,112a,0.2,112a,0.02,112a,0.16,112a,0,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,2,112a,4.6,80,0.1,112a,4.4,112a,0,112a,2,112a,3.6,112a,0.1,83,0,50,7,85,7,112a,4,112a,0.4,112a,0,112a,0.05,112a,0.15,112a,0.1,112a,0.04,112a,5,112a,0.5,112a,0,20,117,112a,0.4,112a,40,112a,193,112a,16,112a,0.5,112a,2,112a,0,112a,116,112a,14.8,325
1.292,"Lettmelk, uspesifisert",100,0,91,138,173,61a,41,61b,1,138,0.6,138,0.03,138,0.09,138,0.25,138,0.1,138,0,138,0.2,138,0.01,138,0.18,138,0,138,0.01,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0.02,138,3,138,4.5,80,0,50,4.5,138,0,50,0,50,3.5,138,0.1,83,0,50,9,85,9,138,6,138,0.2,138,0,138,0.05,138,0.15,138,0.1,138,0.04,138,5,138,0.6,138,0,138,120,138,0,138,41,138,170,138,13,138,0.4,138,1,138,0,138,110,138,15,138
1.291,"Melk, uspesifisert",100,0,90,138,188,61a,45,61b,1.4,138,0.9,138,0.04,138,0.14,138,0.38,138,0.15,138,0,138,0.4,138,0.02,138,0.28,138,0,138,0.02,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0.01,138,0.02,138,4,138,4.5,80,0,50,4.5,138,0,50,0,50,3.5,138,0.1,83,0,50,14,85,13,138,9,138,0.1,138,0,138,0.04,138,0.15,138,0.1,138,0.04,138,5,138,0.6,138,0,138,120,138,0,138,41,138,170,138,13,138,0.4,138,1,138,0,138,110,138,15,138
1.104,"Milkshake, jordbærsmak",100,0,83,112a,300,61a,71,61b,1.4,112a,0.9,112a,0.04,112a,0.14,112a,0.4,112a,0.15,112a,0,112a,0.4,112a,0.03,112a,0.29,112a,0,112a,0.02,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.03,112a,4,112a,10.6,80,0.6,112a,10,112a,4.4,112a,0,112a,4,112a,0.2,83,0,50,14,85,14,112a,8,112a,0,112a,0,111a,0.05,112a,0.16,112a,0.1,112a,0.04,112a,5,112a,0.5,112a,0,20,131,112a,0,112a,100,112a,181,112a,12,112a,0.5,112a,1,112a,0.01,112a,108,112a,12.2,325
1.079,"Milkshake, sjokoladesmak",100,0,81,112a,332,61a,79,61b,1.5,112a,0.9,112a,0.05,112a,0.15,112a,0.42,112a,0.16,112a,0,112a,0.4,112a,0.03,112a,0.31,112a,0,112a,0.02,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.03,112a,4,112a,12.1,80,0.1,112a,12,112a,4.8,112a,0.2,112a,4.1,112a,0.4,83,0,50,19,85,18,112a,9,112a,0,112a,0,112a,0.08,112a,0.19,112a,0.2,112a,0.17,112a,5,112a,0.5,112a,0,20,134,112a,0.3,112a,170,112a,241,112a,16,112a,0.5,112a,1,112a,0.01,112a,106,112a,14.8,325
1.197,"Sjokolademelk, av pulver og lettmelk",100,0,84,135,296,61a,70,61b,1.6,135,1,135,0.04,109c,0.12,109c,0.31,109c,0.12,109c,0,30,0.5,135,0.01,109c,0.23,109c,0,135,0.02,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0,109c,0.02,109c,0.05,109c,6,135,10.3,80,0.2,135,10.1,135,5.6,135,0.5,135,3.4,135,0.1,83,0,50,15,85,14,87a,8,87a,0,87a,0,87a,0.05,87a,0.15,87a,0.1,87a,0.04,87a,5,87a,0.4,87a,1,87a,95,135,0.2,135,53,135,189,135,16,135,0.5,135,1,135,0.07,135,108,135,14,325
1.28,"Sjokolademelk, laktosefri, uten tilsatt sukker, Litago Uten",100,0,88,112a,199,61a,47,61b,1.2,112a,0.8,112a,0.04,112a,0.13,112a,0.35,112a,0.13,112a,0,112a,0.4,112a,0.03,112a,0.26,112a,0,112a,0.02,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,4.5,80,0.1,112a,4.4,112a,0,112a,2.1,112a,3.6,112a,0.1,83,0,50,15,85,14,112a,7,112a,0,112a,0,112a,0.05,112a,0.13,112a,0.1,112a,0.04,112a,5,112a,0.2,112a,0,20,130,112a,0.4,112a,40,112a,202,112a,16,112a,0.5,112a,2,112a,0,112a,110,112a,14.8,325
1.127,"Sjokolademelk, laktoseredusert, Litago",100,0,88,112a,199,61a,47,61b,1.2,112a,0.8,112a,0.04,112a,0.13,112a,0.35,112a,0.13,112a,0,112a,0.4,112a,0.03,112a,0.26,112a,0,112a,0.02,112a,0.01,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,111a,4.5,80,0.1,112a,4.4,112a,0,112a,2.1,112a,3.6,112a,0.1,83,0,50,15,85,14,112a,7,112a,0,112a,0,112a,0.05,112a,0.13,112a,0.1,112a,0.04,112a,5,112a,0.2,112a,0,20,130,112a,0.4,112a,40,112a,202,112a,16,112a,0.5,112a,2,112a,0,112a,110,112a,14.8,325
1.008,"Sjokolademelk, Sjokomelk",100,0,86,112a,251,61a,59,61b,1.2,112a,0.8,112a,0.04,112a,0.12,112a,0.34,112a,0.12,112a,0,112a,0.4,112a,0.03,112a,0.24,112a,0,112a,0.02,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0,112a,0.01,112a,0.02,112a,3,112a,8.7,80,0.1,112a,8.6,112a,4.1,112a,0.3,112a,3.3,112a,0.1,83,0,50,15,85,14,112a,7,112a,0,112a,0,112a,0.05,112a,0.15,112a,0.1,112a,0.04,112a,5,112a,0.5,112a,0,20,129,112a,0.4,112a,40,112a,171,112a,16,112a,0.5,112a,2,112a,0.01,112a,92,112a,14.8,325
